Module	Section	Sample Name	Source
FastQC	all_sections	ERR3141425_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141425_1_fastqc.zip
FastQC	all_sections	ERR3141425_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141425_2_fastqc.zip
FastQC	all_sections	ERR3141426_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141426_1_fastqc.zip
FastQC	all_sections	ERR3141426_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141426_2_fastqc.zip
FastQC	all_sections	ERR3141427_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141427_1_fastqc.zip
FastQC	all_sections	ERR3141427_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141427_2_fastqc.zip
FastQC	all_sections	ERR3141428_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141428_1_fastqc.zip
FastQC	all_sections	ERR3141428_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141428_2_fastqc.zip
FastQC	all_sections	ERR3141429_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141429_1_fastqc.zip
FastQC	all_sections	ERR3141429_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141429_2_fastqc.zip
FastQC	all_sections	ERR3141430_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141430_1_fastqc.zip
FastQC	all_sections	ERR3141430_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141430_2_fastqc.zip
FastQC	all_sections	ERR3141431_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141431_1_fastqc.zip
FastQC	all_sections	ERR3141431_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141431_2_fastqc.zip
FastQC	all_sections	ERR3141432_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141432_1_fastqc.zip
FastQC	all_sections	ERR3141432_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141432_2_fastqc.zip
FastQC	all_sections	ERR3141433_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141433_1_fastqc.zip
FastQC	all_sections	ERR3141433_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141433_2_fastqc.zip
FastQC	all_sections	ERR3141434_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141434_1_fastqc.zip
FastQC	all_sections	ERR3141434_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141434_2_fastqc.zip
FastQC	all_sections	ERR3141435_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141435_1_fastqc.zip
FastQC	all_sections	ERR3141435_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141435_2_fastqc.zip
FastQC	all_sections	ERR3141436_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141436_1_fastqc.zip
FastQC	all_sections	ERR3141436_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141436_2_fastqc.zip
FastQC	all_sections	ERR3141437_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141437_1_fastqc.zip
FastQC	all_sections	ERR3141437_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141437_2_fastqc.zip
FastQC	all_sections	ERR3141438_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141438_1_fastqc.zip
FastQC	all_sections	ERR3141438_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141438_2_fastqc.zip
FastQC	all_sections	ERR3141439_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141439_1_fastqc.zip
FastQC	all_sections	ERR3141439_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141439_2_fastqc.zip
FastQC	all_sections	ERR3141440_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141440_1_fastqc.zip
FastQC	all_sections	ERR3141440_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141440_2_fastqc.zip
FastQC	all_sections	ERR3141441_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141441_1_fastqc.zip
FastQC	all_sections	ERR3141441_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141441_2_fastqc.zip
FastQC	all_sections	ERR3141442_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141442_1_fastqc.zip
FastQC	all_sections	ERR3141442_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141442_2_fastqc.zip
FastQC	all_sections	ERR3141443_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141443_1_fastqc.zip
FastQC	all_sections	ERR3141443_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141443_2_fastqc.zip
FastQC	all_sections	ERR3141444_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141444_1_fastqc.zip
FastQC	all_sections	ERR3141444_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141444_2_fastqc.zip
