Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
ERR3141419_2										10.299676505788533	6.417745968171962	15.777353825249929	6.729785561651519	17.67013070114112	15.016214209256121	10.016470950693794
ERR3141420_1										10.282773633155102	5.602109178519348	20.183020901578715	17.52594205042585	21.678783523892047	0.0	0.0
ERR3141420_2										10.055582560179218	5.897457573388	24.911765327472153	18.542490014159814	19.6662932983917	0.0	0.0
ERR3141421_1										7.868547629664064	1.9400988549147589	6.247213183185178	5.752938609390268	52.09521189294829	12.4688113692639	0.0
ERR3141421_2										5.001565360934284	1.369927993397023	9.677725388256947	11.71269460282524	48.000607170301784	10.920527099718234	0.0
ERR3141422_1										10.554866260784257	5.363274374585221	17.202152523299766	17.18772542343538	26.31214473266584	0.0	0.0
ERR3141422_2										11.316617133623799	6.14666589722134	18.34694289753874	12.970684133075569	32.74590991718845	0.0	0.0
ERR3141423_1										11.324476390210553	5.938709707221982	20.706492114672162	16.801245392141464	18.226794408669704	2.373913284490803	0.0
ERR3141423_2										10.162695516403513	6.423285507072313	28.55024529051451	17.682628257836825	15.95681778286939	0.0	0.0
ERR3141424_1										10.585327795712237	5.81870675680095	21.887307230519827	17.313163685289954	20.13024933310286	0.0	0.0
ERR3141424_2										10.866102003728082	6.617581791255354	25.244451088759224	13.350089464660291	23.825630340432888	0.0	0.0
ERR3141425_1										10.467901024213855	5.657787622347173	21.867249768084662	11.142821983680733	24.445296378334376	5.470835463168059	0.0
ERR3141425_2										10.20238162851896	7.240018174589652	21.360822400181746	12.327483387289147	28.623085515230684	2.673652524564094	0.0
ERR3141426_1										9.274452299255943	2.985240850440971	18.114562396253735	12.752902243836212	32.63453206124278	6.859318735051256	0.0
ERR3141426_2										8.20265060113173	3.8740778846102852	15.551466103807257	12.905637963311609	40.90824719851931	3.2748023186130752	0.0
ERR3141427_1										12.077389671546122	7.497124431030584	23.00061935331649	10.023692722106981	26.325465252312746	0.0	0.0
ERR3141427_2										12.996588641256796	9.56556788800519	20.963635112417542	7.246433802927673	31.41301035204829	0.0	0.0
ERR3141428_1										10.431672211863065	4.883429003205245	17.461884391795547	11.501102945657076	29.75333016464968	6.7840298343753425	0.0
ERR3141428_2										9.563331017756816	6.358085627582173	18.07612153120544	13.805710942927133	29.416352845112304	7.52013942208085	0.0
ERR3141429_1										10.110015426027996	4.969479448906255	18.541732046799652	12.6453648984932	24.11366639998939	10.091893158180879	0.0
ERR3141429_2										8.88035325162106	5.378777498331425	20.52059529439845	9.054945832099397	33.95936191936917	4.941633037336292	0.0
ERR3141430_1										10.198370920374577	4.201067582793078	13.243198315509503	8.97748471583458	43.227867974363235	0.0	0.0
ERR3141430_2										10.30734563454683	4.895550507009475	14.067896788016476	6.389797011506991	46.3881346853586	0.0	0.0
ERR3141431_1										10.518393125947513	3.821656050955414	20.944646520921612	13.527398177561833	22.732264441027894	6.487279895860675	0.0
ERR3141431_2										9.140047034118485	5.1110765884728915	20.33181017072635	12.964917261735762	30.250759349236368	2.827404070219046	0.0
ERR3141432_1										10.748266829847093	9.524413632530615	30.05828227726245	13.889241285642859	10.675134138787937	0.0	0.0
ERR3141432_2										12.107191630038134	10.702745460922516	30.38588688312948	11.450489914404901	10.00574614001179	0.0	0.0
ERR3141433_1										11.245047785350833	9.758913986368501	29.437278206500313	14.067106029027956	10.002065378621454	0.0	0.0
ERR3141433_2										12.58003342158133	10.781276403988059	33.55395332244315	14.639779192249197	4.033121162620403	0.0	0.0
ERR3141434_1										14.656205731720606	8.183502233845482	35.13130652718753	9.832033499898815	1.8384470493002694	0.0	0.0
ERR3141434_2										17.16402808262893	10.613490247357523	30.908015380065066	7.862824763772785	1.654758013045035	0.0	0.0
ERR3141435_1										11.685900106885995	7.128752332469792	26.21152557111542	13.059113389735321	16.866247576948858	0.0	0.0
ERR3141435_2										13.026504103335204	8.366093588651967	23.12541893874889	7.8389101251834274	24.192467254841574	0.0	0.0
ERR3141436_1										10.115026853441115	4.067465810309507	18.054786556669068	12.38372736836277	36.501301146115935	0.0	0.0
ERR3141436_2										9.611870882010964	5.1326061679862685	16.588920879242565	15.717568240961189	31.14307070483362	0.0	0.0
ERR3141437_1										8.191475450188845	3.312282213213744	16.56679564003354	12.290674687117791	39.17123714432966	0.0	0.0
ERR3141437_2										7.528403627664402	2.529211313759125	22.23290590072384	15.784493965431034	30.846685794724653	0.0	0.0
ERR3141438_1										9.792914979757086	4.035425101214575	16.09392712550607	11.202226720647774	36.21093117408907	4.7002024291497975	0.0
ERR3141438_2										7.869838056680162	4.6421052631578945	19.632186234817812	11.115384615384617	36.92672064777328	3.6921052631578943	0.0
ERR3141439_1										11.73895882793032	5.708361070037879	18.471172482047233	10.323945072488527	24.272021961579018	10.829980383031616	0.0
ERR3141439_2										11.229978026639019	5.817933325871424	21.10326301465087	6.95312546023293	31.72352445640968	6.742228322660838	0.0
ERR3141440_1										11.458473333294377	4.104457988324733	14.208997785322355	8.664707154168443	28.541292927640228	13.351759762988587	0.0
ERR3141440_2										11.198438623043165	5.520916724614477	14.417025553523324	9.443642589595106	29.440019634081494	12.11294271639855	0.0
ERR3141441_1										9.023770736873283	4.83825448408252	19.64948851141593	15.837284877206415	30.694065279411642	0.0	0.0
ERR3141441_2										8.694048513874879	5.343735417475837	24.914425906107407	13.95283854508672	24.591689323426763	3.1686864481372092	0.0
ERR3141442_1										11.308417419012216	6.491635687732342	23.380244291024958	21.790361125862983	12.366569304301645	0.0	0.0
ERR3141442_2										11.219463621879978	8.529607010090281	28.89139670738184	16.27655337227828	12.797397769516728	0.0	0.0
ERR3141443_1										9.871532322763162	5.996917620233923	26.167504116877083	14.169446438373518	21.742916860195077	0.0	0.0
ERR3141443_2										9.7480260102183	6.878351560190854	31.129396613604694	16.05265380230545	18.00078115103661	0.0	0.0
ERR3141444_1										9.764435030849986	4.353255364214016	19.381158486048438	11.075052951468829	33.96740031310434	1.8498940970623445	0.0
ERR3141444_2										8.593793166958283	5.012984621051662	24.61847315590754	12.241642876876323	29.01040611474353	2.143843816189336	0.0
ERR3141445_1										9.69078127418317	5.297692263829719	22.564576697811194	16.813157273075323	22.3328255716392	0.0	0.0
ERR3141445_2										9.432148646557131	6.194556903251033	25.240915274394965	18.372284357409928	21.05595425257207	0.0	0.0
ERR3141446_1										9.323336252189142	3.6508318739054286	15.458625218914184	13.570928196147111	35.780210157618214	2.705560420315236	0.0
ERR3141446_2										7.9165936952714535	4.60529772329247	18.129159369527144	16.00591068301226	27.69680385288967	8.742556917688265	0.0
ERR3141447_1										10.377640142653197	7.195627038969075	21.18627967191936	15.65493993692427	21.733985441557245	0.0	0.0
ERR3141447_2										10.892776689121336	7.3823572518089495	27.02919830857168	16.12339393018244	19.23538320405161	0.0	0.0
ERR3141448_1										13.201168938165239	6.753906004662452	19.508779966971215	15.550867652111588	20.36442497035168	0.0	0.0
ERR3141448_2										11.548251949769648	5.9765842917468675	25.563687549182962	16.955884037196174	15.890022277803844	0.0	0.0
