"","Assay.Type","AvgSpotLen","Bases","BioProject","BioSample","Bytes","Center.Name","Collection_Date","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","ENA.FIRST.PUBLIC..run.","ENA.FIRST.PUBLIC","ENA.LAST.UPDATE..run.","ENA.LAST.UPDATE","environment_biome","environment_feature","environment_material","Experiment","external_id","geo_loc_name_country","geo_loc_name_country_continent","geographic_location_.country_and.or_sea.","geographic_location_.latitude.","geographic_location_.longitude.","INSDC_center_name","INSDC_first_public","INSDC_last_update","INSDC_status","Instrument","investigation_type","Library.Name","LibraryLayout","LibrarySelection","LibrarySource","miscellaneous_environmental_package","Organism","Platform","project_name","ReleaseDate","create_date","version","Sample.Name","Sample_name","Scientific_Name","Sequencing_method","SRA.Study","Submitter_Id","names","denoisedF","denoisedR","merged","nochim","num_ASVs"
"ERR3141492","AMPLICON",502,128084296,"PRJEB31110","SAMEA5320152",76840360,"TEAGASC FOOD RESEARCH CENTRE","10/19/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:39,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170458","SAMEA5320152","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:39,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:45:00,1,"SAMEA5320152","T2F15","food metagenome","Illumina MiSeq","ERP113625","T2F15","ERR3141492",155839,156279,137560,99293,913
"ERR3141493","AMPLICON",502,81883730,"PRJEB31110","SAMEA5320153",48465410,"TEAGASC FOOD RESEARCH CENTRE","10/19/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:39,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170459","SAMEA5320153","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:39,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:45:00,1,"SAMEA5320153","T2F16","food metagenome","Illumina MiSeq","ERP113625","T2F16","ERR3141493",103453,103640,97041,60948,610
"ERR3141494","AMPLICON",502,78314510,"PRJEB31110","SAMEA5320154",47775194,"TEAGASC FOOD RESEARCH CENTRE","10/19/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:39,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170460","SAMEA5320154","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:39,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:45:00,1,"SAMEA5320154","T2F17","food metagenome","Illumina MiSeq","ERP113625","T2F17","ERR3141494",83638,84571,67437,35191,968
"ERR3141495","AMPLICON",502,96338820,"PRJEB31110","SAMEA5320155",58805060,"TEAGASC FOOD RESEARCH CENTRE","10/19/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:39,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170461","SAMEA5320155","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:39,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:45:00,1,"SAMEA5320155","T2F18","food metagenome","Illumina MiSeq","ERP113625","T2F18","ERR3141495",109321,109394,96312,46651,908
"ERR3141497","AMPLICON",502,94525094,"PRJEB31110","SAMEA5320157",56706229,"TEAGASC FOOD RESEARCH CENTRE","10/19/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:39,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170463","SAMEA5320157","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:39,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:46:00,1,"SAMEA5320157","T2F2","food metagenome","Illumina MiSeq","ERP113625","T2F2","ERR3141497",113578,114034,104868,46855,661
"ERR3141498","AMPLICON",502,122235996,"PRJEB31110","SAMEA5320158",74222380,"TEAGASC FOOD RESEARCH CENTRE","10/19/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:39,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170464","SAMEA5320158","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:39,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:46:00,1,"SAMEA5320158","T2F20","food metagenome","Illumina MiSeq","ERP113625","T2F20","ERR3141498",139245,140299,116533,61164,1319
"ERR3141499","AMPLICON",502,112615166,"PRJEB31110","SAMEA5320159",67810799,"TEAGASC FOOD RESEARCH CENTRE","10/19/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:39,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170465","SAMEA5320159","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:39,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:46:00,1,"SAMEA5320159","T2F21","food metagenome","Illumina MiSeq","ERP113625","T2F21","ERR3141499",135745,136143,128968,66590,497
"ERR3141500","AMPLICON",502,75899388,"PRJEB31110","SAMEA5320160",45098296,"TEAGASC FOOD RESEARCH CENTRE","10/19/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:39,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170466","SAMEA5320160","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:39,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:46:00,1,"SAMEA5320160","T2F22","food metagenome","Illumina MiSeq","ERP113625","T2F22","ERR3141500",92244,93052,80059,35197,820
"ERR3141502","AMPLICON",502,68422600,"PRJEB31110","SAMEA5320162",40407004,"TEAGASC FOOD RESEARCH CENTRE","10/19/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:39,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170468","SAMEA5320162","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:39,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:46:00,1,"SAMEA5320162","T2F24","food metagenome","Illumina MiSeq","ERP113625","T2F24","ERR3141502",84881,85628,72248,46854,843
"ERR3141503","AMPLICON",502,63655106,"PRJEB31110","SAMEA5320163",40793744,"TEAGASC FOOD RESEARCH CENTRE","10/19/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:39,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170469","SAMEA5320163","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:39,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:46:00,1,"SAMEA5320163","T2F25","food metagenome","Illumina MiSeq","ERP113625","T2F25","ERR3141503",53241,53419,44077,21026,451
"ERR3141504","AMPLICON",502,49743180,"PRJEB31110","SAMEA5320164",29624957,"TEAGASC FOOD RESEARCH CENTRE","10/19/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:39,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170470","SAMEA5320164","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:39,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:46:00,1,"SAMEA5320164","T2F26","food metagenome","Illumina MiSeq","ERP113625","T2F26","ERR3141504",63450,63478,59880,51621,124
"ERR3141505","AMPLICON",502,85664794,"PRJEB31110","SAMEA5320165",50975924,"TEAGASC FOOD RESEARCH CENTRE","10/19/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:39,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170471","SAMEA5320165","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:39,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:46:00,1,"SAMEA5320165","T2F27","food metagenome","Illumina MiSeq","ERP113625","T2F27","ERR3141505",108530,108679,101775,48807,301
"ERR3141506","AMPLICON",502,71209202,"PRJEB31110","SAMEA5320166",41019059,"TEAGASC FOOD RESEARCH CENTRE","10/19/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:39,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170472","SAMEA5320166","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:39,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:46:00,1,"SAMEA5320166","T2F28","food metagenome","Illumina MiSeq","ERP113625","T2F28","ERR3141506",96354,96563,86624,67516,663
"ERR3141507","AMPLICON",502,99183152,"PRJEB31110","SAMEA5320167",57265876,"TEAGASC FOOD RESEARCH CENTRE","10/19/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:39,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170473","SAMEA5320167","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:39,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:46:00,1,"SAMEA5320167","T2F29","food metagenome","Illumina MiSeq","ERP113625","T2F29","ERR3141507",131701,132430,117069,88242,761
"ERR3141508","AMPLICON",502,122417720,"PRJEB31110","SAMEA5320169",73375846,"TEAGASC FOOD RESEARCH CENTRE","10/19/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:39,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170474","SAMEA5320169","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:39,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:46:00,1,"SAMEA5320169","T2F3","food metagenome","Illumina MiSeq","ERP113625","T2F3","ERR3141508",144396,145837,118654,63383,1548
